weighted_rank,unweighted_rank,rank_change,node_id,station_name,mode,city,lines,service_population,population_weighted_mean_km,population_weighted_closeness_km,lat,lon
39,36,-3,M093,圭塘,地铁,长沙,地铁4号线、地铁5号线,18079.53037109378,11.706246984472028,0.08542447475492948,28.157513,113.031051
40,40,0,M089,碧沙湖,地铁,长沙,地铁4号线,42979.68007749555,11.76780401282129,0.0849776219004393,28.164456,112.967773
41,44,3,M085,六沟垅,地铁,长沙,地铁4号线、地铁6号线,13964.516337661817,11.77150435403456,0.08495090941008406,28.219675,112.954594
42,41,-1,M088,湖南大学(岳麓书院),地铁,长沙,地铁4号线,8151.704311599749,11.817848548896174,0.08461777081187957,28.179692,112.946562
43,42,-1,M060,阜埠河,地铁,长沙,地铁3号线、地铁4号线,21483.544949226267,11.969640867787579,0.08354469537103464,28.166308,112.947503
44,45,1,M042,长沙大道,地铁,长沙,地铁2号线,25816.00589843747,12.122641312271652,0.08249027371516042,28.168309,113.044472
45,43,-2,M128,花桥,地铁,长沙,地铁6号线,16723.21110351568,12.127412911557705,0.08245781744983523,28.184731,113.048659
46,47,1,M106,火炬村,地铁,长沙,地铁5号线,41281.05416259771,12.186427314459602,0.08205850444891807,28.208477,113.031193
47,48,1,M031,西湖公园,地铁,长沙,地铁2号线,19750.86847351073,12.256993817136262,0.08158607362613822,28.202635,112.939889
48,52,4,M007,北辰三角洲,地铁,长沙,地铁1号线,58321.59918945309,12.307910586626203,0.08124855904353105,28.236234,112.983561
49,46,-3,M043,沙湾公园,地铁,长沙,地铁2号线、地铁4号线,18272.08607421876,12.451528455467145,0.08031142550703692,28.157601,113.044914
50,51,1,M084,观沙岭,地铁,长沙,地铁4号线,21205.757608337386,12.494692370806478,0.08003398325648048,28.23055,112.952473
50,51,1,IC_GSL,观沙岭,城际铁路,长沙,长株潭城际铁路(S1),21205.757608337386,12.494692370806478,0.08003398325648048,28.23055,112.952473
51,49,-2,M101,木桥,地铁,长沙,地铁5号线,22440.94193359365,12.621900234553602,0.07922737317019896,28.148717,113.030887
52,55,3,M124,湘雅三医院,地铁,长沙,地铁6号线,26487.520268554737,12.69516214224304,0.07877016368877313,28.218128,112.943071
53,50,-3,IC_XZL,香樟路,城际铁路,长沙,长株潭城际铁路(S1),34730.04417968768,12.703833473225473,0.07871639707082073,28.1406806,113.0237306
54,54,0,M018,铁道学院(爱尔眼科),地铁,长沙,地铁1号线,57272.431591796914,12.705018796255137,0.07870905317312514,28.136158,112.987317
55,57,2,M067,丝茅冲,地铁,长沙,地铁3号线,26302.23093749991,12.735294004377321,0.0785219406521973,28.223701,113.006991
56,53,-3,M094,粟塘,地铁,长沙,地铁4号线,12002.265400390614,13.15972969834833,0.0759894027402029,28.157664,113.052402
57,56,-1,M129,隆平水稻博物馆,地铁,长沙,地铁6号线,24141.737138671957,13.243154865331114,0.07551070799737244,28.190557,113.05883
58,59,1,M030,金星路,地铁,长沙,地铁2号线,18016.99802490239,13.353337175075458,0.07488764695214468,28.206063,112.928575
59,63,4,M068,四方坪,地铁,长沙,地铁3号线,30767.782041015776,13.371773317659192,0.07478439667230732,28.230814,113.007029
60,61,1,M123,白鸽咀(省肿瘤医院),地铁,长沙,地铁6号线,27882.75389648431,13.41579778162989,0.07453898875617293,28.217849,112.934149
61,58,-3,M059,中南大学,地铁,长沙,地铁3号线,24485.398671875126,13.51941720986541,0.07396768547613713,28.154194,112.937669
62,65,3,M107,鸭子铺(马栏山文创园),地铁,长沙,地铁5号线,16587.591582031193,13.707725797410761,0.07295156138802317,28.225031,113.036075
63,66,3,M019,友谊路,地铁,长沙,地铁1号线,49559.55846679702,13.773182493113545,0.07260486096804353,28.123635,112.986893
64,64,0,M100,雨花区政府,地铁,长沙,地铁5号线,22289.183232421834,13.862615485611729,0.07213645946090902,28.137554,113.035082
65,60,-5,M095,平阳,地铁,长沙,地铁4号线,5422.983867187515,13.89324231926769,0.07197743888862868,28.152197,113.057069
66,68,2,M006,马厂,地铁,长沙,地铁1号线,28754.88867675765,13.92138580899076,0.07183192921455969,28.251262,112.988706
67,67,0,M083,茶子山,地铁,长沙,地铁4号线,14694.16875854499,13.947946807105819,0.07169514006825344,28.242696,112.959495
68,62,-6,M044,杜花路,地铁,长沙,地铁2号线,13663.674858398414,14.08592287996541,0.07099286347948935,28.146287,113.056458
69,73,4,M069,雅雀湖,地铁,长沙,地铁3号线,25919.495872802643,14.158592320038997,0.07062849027616085,28.237322,113.013841
70,72,2,M108,马栏山,地铁,长沙,地铁5号线,11000.587653808592,14.393313798056765,0.06947670383834817,28.231676,113.040774
71,74,3,M122,湖南工商大学,地铁,长沙,地铁6号线,41615.47487304689,14.418609400903605,0.06935481586298681,28.219281,112.922069
72,71,-1,M099,大塘,地铁,长沙,地铁5号线,26171.77494140629,14.57618846712396,0.06860504049158407,28.130988,113.03644
73,77,4,IC_BAF,八方山,城际铁路,长沙,长株潭城际铁路(S1),52238.043242187465,14.683679261078016,0.06810282233899626,28.2340278,112.928675
74,76,2,M029,望城坡(汽车西站),地铁,长沙,地铁2号线,27642.631696777466,14.73937707091124,0.06784547238251612,28.207481,112.9137
75,69,-6,M045,长沙火车南站,地铁,长沙,地铁2号线、地铁4号线,2854.2852450561572,14.836866868128304,0.06739967466771181,28.146942,113.065055
75,69,-6,M140,磁浮高铁,磁浮,长沙,磁浮S2线,2854.2852450561572,14.836866868128304,0.06739967466771181,28.148803,113.06738
76,79,3,M020,省政府,地铁,长沙,地铁1号线,37090.503769531104,14.863578010765732,0.06727855158937486,28.111178,112.987494
77,70,-7,M058,阳光,地铁,长沙,地铁3号线,27424.40806884761,14.871140334926517,0.06724433886562078,28.141404,112.937025
78,78,0,IC_XFL,湘府路,城际铁路,长沙,长株潭城际铁路(S1),29248.483056640467,15.07259251765338,0.06634558711971919,28.1136,113.0238
79,80,1,M082,福元大桥西,地铁,长沙,地铁4号线,10448.718598327623,15.084825360324517,0.06629178502988563,28.253244,112.958701
80,81,1,M005,开福区政府,地铁,长沙,地铁1号线,27048.161284179623,15.089512492324523,0.06627119335423613,28.26204,112.985391
81,75,-6,M130,农科院农大,地铁,长沙,地铁6号线,19636.26337890635,15.164186685761274,0.06594484892084392,28.191388,113.079393
82,83,1,M070,长沙大学,地铁,长沙,地铁3号线,16638.1089379883,15.267376743828226,0.0654991369361633,28.240932,113.031104
83,82,-1,M071,月湖公园北(湖南广电),地铁,长沙,地铁3号线、地铁5号线,15893.630358886776,15.302027568080392,0.06535081678234408,28.242214,113.0409
84,85,1,M121,涧塘,地铁,长沙,地铁6号线,44611.01661132831,15.404356610325465,0.06491670020997209,28.218497,112.91045
85,84,-1,M028,梅溪湖东,地铁,长沙,地铁2号线,18150.850220336964,15.549455171469532,0.0643109349474071,28.201676,112.908169
86,89,3,M021,桂花坪,地铁,长沙,地铁1号线,36348.652910156256,15.931223800984478,0.06276981683844053,28.099225,112.98833
87,87,0,M098,板塘冲,地铁,长沙,地铁5号线,20393.480637206947,16.195575664293678,0.06174525813273165,28.116306,113.039423
88,86,-2,M057,洋湖新城,地铁,长沙,地铁3号线,9954.132668457014,16.43706352731425,0.06083811736434871,28.128707,112.945179
89,93,4,M109,白茅铺,地铁,长沙,地铁5号线,15642.282263183586,16.437457815989525,0.06083665802793731,28.250325,113.048734
90,91,1,M027,文化艺术中心,地铁,长沙,地铁2号线,16243.73096618638,16.459370174120114,0.06075566619021363,28.196702,112.900455
91,94,3,M120,麓谷公园,地铁,长沙,地铁6号线,54043.15454101567,16.636698541111283,0.06010807958856018,28.218128,112.896304
92,92,0,IC_DON,洞井,城际铁路,长沙,长株潭城际铁路(S1),46983.46907714868,16.648794090429572,0.060064410345181826,28.0998,113.0093
93,88,-5,M131,东湖(隆平芯谷),地铁,长沙,地铁6号线,13386.474240722606,16.6893971717942,0.059918281631528486,28.193484,113.095371
94,90,-4,M046,光达(会展中心),地铁,长沙,地铁2号线、地铁4号线,8305.875834960963,16.781152071046108,0.05959066432187225,28.148006,113.085058
95,95,0,M081,汉王陵公园,地铁,长沙,地铁4号线,18262.85531517039,16.979318001311807,0.05889518059104264,28.267721,112.947522
96,98,2,M004,宿龙桥,地铁,长沙,地铁1号线,18990.359377441466,17.01138325314025,0.058784167349554196,28.278982,112.978235
97,100,3,M072,湘龙,地铁,长沙,地铁3号线,32461.124111328052,17.14092934499709,0.05833989393882364,28.245664,113.060979
98,97,-1,M022,大托,地铁,长沙,地铁1号线,20856.03908691403,17.200543534786686,0.05813769768249371,28.082567,112.989183
99,103,4,IC_GUS,谷山,城际铁路,长沙,长株潭城际铁路(S1),41799.238386840654,17.21249416051393,0.05809733270928483,28.233878,112.901673
100,102,2,M023,中信广场(城际先锋站),地铁,长沙,地铁1号线,8426.218100585907,17.439082923577626,0.057342464875145514,28.073706,112.98972
100,102,2,IC_XIA,先锋,城际铁路,长沙,长株潭城际铁路(S1),8426.218100585907,17.439082923577626,0.057342464875145514,28.073706,112.98972
101,104,3,M026,麓云路,地铁,长沙,地铁2号线,19032.654505920425,17.490182918591508,0.057174930911501894,28.190853,112.892029
102,96,-6,M132,韶光,地铁,长沙,地铁6号线,13625.497888183509,17.784869434370197,0.05622757050256705,28.19598,113.106529
103,101,-2,M096,杜家坪,地铁,长沙,地铁4号线,10013.624995117194,17.891593287741934,0.055892171475031796,28.141516,113.093751
104,105,1,M110,土桥,地铁,长沙,地铁5号线,37315.661748046994,18.044398692176273,0.05541885972812062,28.26381,113.056018
105,99,-6,M056,洋湖湿地,地铁,长沙,地铁3号线,11831.972227172759,18.069948776180745,0.0553404999862628,28.114684,112.938747
106,107,1,M119,麓谷体育公园,地铁,长沙,地铁6号线,26051.796635742256,18.14047038411365,0.05512536217780443,28.220307,112.879796
107,106,-1,M097,毛竹塘,地铁,长沙,地铁5号线,21146.114906006078,18.52841957689915,0.05397114394185996,28.095202,113.036752
108,108,0,M025,梅溪湖西,地铁,长沙,地铁2号线,14965.073434448334,18.615800553412534,0.053717808005666785,28.185898,112.881901
109,109,0,M024,尚双塘,地铁,长沙,地铁1号线,25726.91624511725,18.75334393663832,0.053323823387374916,28.06192,112.992246
110,111,1,M118,长丰,地铁,长沙,地铁6号线,26183.89026367194,18.854018767934036,0.05303909009047713,28.220774,112.872019
111,114,3,M003,秀峰山,地铁,长沙,地铁1号线,17392.193530273307,18.9941080952447,0.05264790507590912,28.295345,112.968579
112,110,-2,M080,湘江新城,地铁,长沙,地铁4号线,8519.361380767792,19.005886966993383,0.052615276610697106,28.281687,112.933692
113,115,2,IC_JIA,尖山,城际铁路,长沙,长株潭城际铁路(S1),24735.98791381825,19.218676471079156,0.05203271939692778,28.240483,112.882161
114,117,3,M073,星沙,地铁,长沙,地铁3号线,45943.618261719115,19.515317282827585,0.051241800761289466,28.245631,113.086873
115,116,1,M079,月亮岛西,地铁,长沙,地铁4号线,7234.585317001336,19.74166188768724,0.050654296770409904,28.287308,112.929562
116,118,2,M111,水渡河,地铁,长沙,地铁5号线,19436.861464843834,19.968083771071864,0.05007991810654955,28.279845,113.063958
117,112,-5,M133,龙华,地铁,长沙,地铁6号线,15347.039597168,19.986172921283053,0.05003459161183936,28.200191,113.129046
118,119,1,M117,和馨园,地铁,长沙,地铁6号线,32739.890610351526,20.024955836104276,0.04993768816194021,28.214649,112.861521
119,113,-6,M055,山塘,地铁,长沙,地铁3号线,12122.751672821132,20.193276452380953,0.04952143364937153,28.098833,112.925803
120,122,2,M078,罐子岭,地铁,长沙,地铁4号线,13252.30924957286,20.783011151499366,0.04811622303959819,28.294866,112.923146
121,125,4,M002,鹅羊山,地铁,长沙,地铁1号线,12481.424652099531,20.953014799807136,0.04772582893461253,28.31129,112.959009
122,126,4,M074,松雅湖(南),地铁,长沙,地铁3号线,29362.327207031143,21.08492839378994,0.047427241929573066,28.245423,113.103524
123,123,0,IC_FRN,芙蓉南,城际铁路,长沙,长株潭城际铁路(S1),16323.35462951656,21.166558433547593,0.04724433606622918,28.0367806,112.9904778
124,120,-4,M141,磁浮榔梨,磁浮,长沙,磁浮S2线,7965.943458862307,21.322250877648464,0.04689936375564705,28.160779,113.133341
125,127,2,M116,长庆,地铁,长沙,地铁6号线,28106.876813964675,21.482084351347996,0.04655041771760152,28.201162,112.862884
126,121,-5,M054,大王山,地铁,长沙,地铁3号线,12384.74163814549,21.599602210285664,0.046297148913409296,28.088776,112.91674
127,128,1,IC_LUG,麓谷,城际铁路,长沙,长株潭城际铁路(S1),10906.334111938548,21.80385122610895,0.04586345731448366,28.2516583,112.8588306
128,129,1,M075,星沙文体中心,地铁,长沙,地铁3号线,18999.768486328103,21.850373544850683,0.04576580798252132,28.245494,113.111506
129,124,-5,M134,檀木桥,地铁,长沙,地铁6号线,4101.926274719257,22.103311821932365,0.0452420889709267,28.201701,113.150958
130,131,1,M115,一师范西校区,地铁,长沙,地铁6号线,21737.42807312013,22.385531880956233,0.04467171051900347,28.193063,112.864719
131,133,2,M076,螺丝塘,地铁,长沙,地铁3号线,12943.452094726565,22.969667685031364,0.043535675557538414,28.245532,113.123051
132,134,2,M001,金霞,地铁,长沙,地铁1号线,11213.371551513748,23.089765851043694,0.04330923087099207,28.326477,112.945061
133,130,-3,M053,桐溪,地铁,长沙,地铁3号线,3183.1269884490744,23.279662871541674,0.04295594852545972,28.075487,112.908285
134,136,2,M114,中塘,地铁,长沙,地铁6号线,4386.388211212152,23.673968195002974,0.04224048929030313,28.181464,112.863724
135,132,-3,M135,曹家坪,地铁,长沙,地铁6号线,2016.6400335693384,24.091249922982115,0.04150884670562646,28.203549,113.17144
136,138,2,M077,广生,地铁,长沙,地铁3号线,5096.9541546630935,24.195175574164992,0.04133055356158585,28.244969,113.135582
137,140,3,M000,金盆丘(铜官窑巴士站),地铁,长沙,地铁1号线,17016.41795166005,24.738899976790133,0.040422169172363895,28.337848,112.933989
138,139,1,IC_MUY,暮云,城际铁路,长沙,长株潭城际铁路(S1),2706.853294067391,24.985114022688766,0.04002383175405598,28.0005,113.001
139,135,-4,M052,红桥,地铁,长沙,地铁3号线,4811.934772338861,25.089810659076573,0.03985681731871646,28.059127,112.909401
140,141,1,M113,象鼻窝,地铁,长沙,地铁6号线,611.4638802338267,25.100535260249327,0.03983978786235919,28.172561,112.853217
141,137,-4,M136,龙峰,地铁,长沙,地铁6号线,2363.426409912112,25.40713759430385,0.0393590185548566,28.202778,113.185075
142,146,4,M112,谢家桥,地铁,长沙,地铁6号线,1795.3618421173207,26.783221923119033,0.03733680745619365,28.172574,112.836033
143,142,-1,M051,坪塘,地铁,长沙,地铁3号线,1615.0865876770054,26.85919347416999,0.037231199848263584,28.043372,112.912405
144,143,-1,M137,大路村,地铁,长沙,地铁6号线,5247.216073608414,27.33400545927327,0.03658446624260633,28.202447,113.205471
145,144,-1,M138,木马塅,地铁,长沙,地铁6号线,5931.459284362771,27.999007165208987,0.03571555213009768,28.195611,113.211799
146,145,-1,M139,黄花机场T1T2,地铁,长沙,地铁6号线,1167.1963412475518,28.304153400199564,0.03533050382609039,28.19094,113.218137
146,145,-1,M142,磁浮机场,磁浮,长沙,磁浮S2线,1167.1963412475518,28.304153400199564,0.03533050382609039,28.191672,113.219048
147,147,0,M050,双湖,地铁,长沙,地铁3号线,1662.8762149047843,29.259352360132333,0.03417710644076188,28.026402,112.92764
148,148,0,M049,黄家湾,地铁,湘潭,地铁3号线,872.3417315673807,33.66151327932541,0.029707517653824275,27.990639,112.947097
149,150,1,IC_ZHS,昭山,城际铁路,湘潭,长株潭城际铁路(S1),8219.023888854948,34.38322665257325,0.029083948696977797,27.927,112.949
150,149,-1,M048,船形山,地铁,湘潭,地铁3号线,1333.2998906898508,34.870329891332,0.028677675350831083,27.979981,112.949624
151,151,0,M047,湘潭北站,地铁,湘潭,地铁3号线,1568.7832209777885,36.7914678157672,0.02718021485327759,27.963953,112.942274
152,152,0,IC_HET,荷塘,城际铁路,湘潭,长株潭城际铁路(S1),3602.190112915051,37.48996402249881,0.02667380527225556,27.907,112.972
153,153,0,IC_BAN,板塘,城际铁路,湘潭,长株潭城际铁路(S1),2810.490062255863,39.73301882042077,0.0251679844544319,27.894,112.954
154,154,0,IC_TXD,田心东,城际铁路,株洲,长株潭城际铁路(S1),22214.09224792493,40.56248609093222,0.024653321242643234,27.8994861,113.1242361
155,155,0,IC_DAF,大丰,城际铁路,株洲,长株潭城际铁路(S1),12461.925854492294,43.54353854849397,0.022965519875843596,27.882525,113.1495056
156,156,0,IC_XIT,湘潭,城际铁路,湘潭,长株潭城际铁路(S1),29007.24066406255,44.467987991736116,0.022488087389648456,27.8793806,112.9078917
157,157,0,IC_ZHZ,株洲,城际铁路,株洲,长株潭城际铁路(S1),52512.29820312479,48.301300678867555,0.020703376222692756,27.8381389,113.1517306
158,158,0,IC_ZZN,株洲南,城际铁路,株洲,长株潭城际铁路(S1),12479.890392455978,54.49977737261845,0.018348698805922384,27.782,113.151
